Animal,Date,Session,User,Exclude?,Ephys?,First World,Last World,Total Trials,Percent Correct,Total Rewards,Trial rate,Time Elapsed,Notes,,
S1,200903,1,Steph,1,0,linear,linear,13,100,13,1.743562232,629.0998319,first ever mouse on the rig!!!!!,,
S11,200916,1,Steph,0,0,linear,linear,20,100,21,1.105047674,1107.825037,"really good job, needle in front but licking, running ok, short only",,
S12,200916,1,Steph,0,0,linear,linear,13,100,18,0.635400612,1270.244317,"ok, awkward on ball and not licking a ton but high weight percentile, got better",,
S13,200916,1,Steph,0,0,linear,linear,8,100,11,0.304682591,1641.437192,"ok, awkward on ball and still most of the time, not licking a ton but high weight percentile, got better",,
S14,200916,1,Steph,0,0,linear,linear,11,100,16,0.551850539,1302.754703,"ok, awkward on ball and not licking a ton but high weight percentile, got better",,
S11,200917,1,Steph,0,0,linear,linear,18,94.44444444,32,0.4268935,2764.179784,ok job.  needle farther in front but still no licks recorded.  moving ok.  not a ton of trials,,
S12,200917,1,Steph,0,0,linear,linear,26,96.15384615,33,0.813203506,2064.256054,ok job.  no licks counted but was licking a lot in response to reward.  moving well.  lots of backward motion,,
S13,200917,1,Steph,0,0,linear,linear,50,100,55,1.026495561,2926.652574,great job! made it all the way to the long linear track.  but no licks being counted so taking off for now.  was licking for reward though,,
S14,200917,1,Steph,0,0,linear,linear,7,42.85714286,26,0.1674756,2744.672472,ok job.  really bad at running but licking for reward (no licks recorded here though) . got better as session went on,,
S11,200918,1,Steph,0,0,linear,linear,51,96.07843137,66,0.954612541,3280.741281,great job! licks recorded here.  made it to the long track  seemed to be getting turning basics at the end,,
S12,200918,1,Steph,0,0,linear,ymazeShort,83,59.03614458,55,1.926353718,2588.042303,went all the way to ymazeShort! Great job on linear.  licks recorded.  started moving fast.  not so great on ymaze,,
S13,200918,1,Steph,0,0,linear,linear,37,94.59459459,41,0.868419231,2665.874015,recorded some licks but not all probably.  ok job.  just lots of starting and stopping for a while  short linear the whole time,,
S14,200918,1,Steph,0,0,linear,linear,53,100,57,1.212351344,2627.547469,no licks recorded bc kept pushing detector down  got a lot less awkward and made it to the long track and walking better  ok overall ,,
S11,200919,1,Steph,0,0,linear,ymazeShort,102,45.09803922,49,1.879528374,3257.279524,good job! Almost all on yMazeShort. Seemed to be at chance but was turning in both directions so that's good,,
S12,200919,1,Steph,0,0,ymazeShort,ymazeShort,126,24.6031746,37,3.239937978,2337.589107,not great - bad left bias at first and then bad right bias  but was licking for reward  doing a VR pause here for a few min since he's just running,,
